Groups,Segments,GenderSegment,Message Type,Message
At Risk,122,122Male,"New Arrivals, More Like Since You Gone","Hey [Customer Name], it looks like you’ve been away for a while. We’ve got some fresh new content to pull you back in—action, adventure, and excitement await. Don’t miss out!"
At Risk,121,121Male,"New Arrivals, More Like Since You Gone","Hey [Customer Name], it looks like you’ve been away for a while. We’ve got some fresh new content to pull you back in—action, adventure, and excitement await. Don’t miss out!"
At Risk,133,133Male,"New Arrivals, More Like Since You Gone","Hey [Customer Name], it looks like you’ve been away for a while. We’ve got some fresh new content to pull you back in—action, adventure, and excitement await. Don’t miss out!"
At Risk,132,132Male,"New Arrivals, More Like Since You Gone","Hey [Customer Name], it looks like you’ve been away for a while. We’ve got some fresh new content to pull you back in—action, adventure, and excitement await. Don’t miss out!"
At Risk,113,113Male,"New Arrivals, More Like Since You Gone","Hey [Customer Name], it looks like you’ve been away for a while. We’ve got some fresh new content to pull you back in—action, adventure, and excitement await. Don’t miss out!"
At Risk,123,123Male,"New Arrivals, More Like Since You Gone","Hey [Customer Name], it looks like you’ve been away for a while. We’ve got some fresh new content to pull you back in—action, adventure, and excitement await. Don’t miss out!"
Hibernating,112,112Male,Quarterly Re-activation Sequence (1-3 Email in increasing discount order) / SMS Offer Sequence + Bestsellers,"Hey [Customer Name], it's been a while! We’ve got fresh, action-packed content that you’ll love. Why not jump back in and check out the latest?"
Hibernating,111,111Male,Quarterly Re-activation Sequence (1-3 Email in increasing discount order) / SMS Offer Sequence + Bestsellers,"Hey [Customer Name], it's been a while! We’ve got fresh, action-packed content that you’ll love. Why not jump back in and check out the latest?"
Champions,333,333Female,"Reward, New Product Launches, Call From Support, Feedback, Ask For Video Reviews, Testimonials, Grooming Stories","Hi [Customer Name], You’re one of our stars! To thank you for your love of great TV series, we’ve curated exclusive shows just for you. Plus, enjoy access to our latest releases for only ₹49. Dive into your next binge-worthy favorite today!"
Champions,233,233Female,"Reward, New Product Launches, Call From Support, Feedback, Ask For Video Reviews, Testimonials, Grooming Stories","Hi [Customer Name], You’re one of our stars! To thank you for your love of great TV series, we’ve curated exclusive shows just for you. Plus, enjoy access to our latest releases for only ₹49. Dive into your next binge-worthy favorite today!"
Loyal Customers,332,332Female,"Upsell Higher Value, Loyalty Program","Hi [Customer Name],You’re one of our most dedicated viewers! To thank you for your loyalty, we’re excited to offer you exclusive access to our latest Indian TV series, ""Dil Se Dosti"", packed with drama and excitement. Dive into the newest episodes before anyone else!"
Loyal Customers,331,331Female,"Upsell Higher Value, Loyalty Program","Hi [Customer Name],You’re one of our most dedicated viewers! To thank you for your loyalty, we’re excited to offer you exclusive access to our latest Indian TV series, ""Dil Se Dosti"", packed with drama and excitement. Dive into the newest episodes before anyone else!"
Loyal Customers,223,223Female,"Upsell Higher Value, Loyalty Program","Hi [Customer Name],You’re one of our most dedicated viewers! To thank you for your loyalty, we’re excited to offer you exclusive access to our latest Indian TV series, ""Dil Se Dosti"", packed with drama and excitement. Dive into the newest episodes before anyone else!"
Loyal Customers,323,323Female,"Upsell Higher Value, Loyalty Program","Hi [Customer Name],You’re one of our most dedicated viewers! To thank you for your loyalty, we’re excited to offer you exclusive access to our latest Indian TV series, ""Dil Se Dosti"", packed with drama and excitement. Dive into the newest episodes before anyone else!"
Potential Loyalists,322,322Female,"Membership, Loyalty Program, Contests, Good Discount On Repeat","Hi [Customer Name], Great news! Join our community to receive exclusive discounts on subscriptions and merchandise for our latest TV series. Sign up today and enjoy!"
Potential Loyalists,232,232Female,"Membership, Loyalty Program, Contests, Good Discount On Repeat","Hi [Customer Name], Great news! Join our community to receive exclusive discounts on subscriptions and merchandise for our latest TV series. Sign up today and enjoy!"
Potential Loyalists,231,231Female,"Membership, Loyalty Program, Contests, Good Discount On Repeat","Hi [Customer Name], Great news! Join our community to receive exclusive discounts on subscriptions and merchandise for our latest TV series. Sign up today and enjoy!"
Promising,221,221Female,"Discount For Next Purchase, Aggressive Targeting","Hi [Customer Name], you’re off to a great start! We’ve lined up some fresh and exciting content tailored to your taste. Keep exploring—we know you’ll love it!"
Promising,321,321Female,"Discount For Next Purchase, Aggressive Targeting","Hi [Customer Name], you’re off to a great start! We’ve lined up some fresh and exciting content tailored to your taste. Keep exploring—we know you’ll love it!"
Promising,313,313Female,"Discount For Next Purchase, Aggressive Targeting","Hi [Customer Name], you’re off to a great start! We’ve lined up some fresh and exciting content tailored to your taste. Keep exploring—we know you’ll love it!"
Promising,312,312Female,"Discount For Next Purchase, Aggressive Targeting","Hi [Customer Name], you’re off to a great start! We’ve lined up some fresh and exciting content tailored to your taste. Keep exploring—we know you’ll love it!"
Promising,222,222Female,"Discount For Next Purchase, Aggressive Targeting","Hi [Customer Name], you’re off to a great start! We’ve lined up some fresh and exciting content tailored to your taste. Keep exploring—we know you’ll love it!"
Promising,213,213Female,"Discount For Next Purchase, Aggressive Targeting","Hi [Customer Name], you’re off to a great start! We’ve lined up some fresh and exciting content tailored to your taste. Keep exploring—we know you’ll love it!"
Promising,212,212Female,"Discount For Next Purchase, Aggressive Targeting","Hi [Customer Name], you’re off to a great start! We’ve lined up some fresh and exciting content tailored to your taste. Keep exploring—we know you’ll love it!"
New Users,311,311Female,Low Ticket + Impulsive + Bestseller,"Hi [Customer Name], welcome aboard! We’ve curated some amazing content to kickstart your journey with us. Sit back, relax, and enjoy what [Platform] has to offer!"
New Users,211,211Female,Low Ticket + Impulsive + Bestseller,"Hi [Customer Name], welcome aboard! We’ve curated some amazing content to kickstart your journey with us. Sit back, relax, and enjoy what [Platform] has to offer!"
At Risk,131,131Female,"New Arrivals, More Like Since You Gone","Hi [Customer Name], we haven’t seen you in a while! We’ve added new, exciting content just for you. Take a break and enjoy some time with [Platform]—we think you’ll love what’s new."
At Risk,122,122Female,"New Arrivals, More Like Since You Gone","Hi [Customer Name], we haven’t seen you in a while! We’ve added new, exciting content just for you. Take a break and enjoy some time with [Platform]—we think you’ll love what’s new."
At Risk,121,121Female,"New Arrivals, More Like Since You Gone","Hi [Customer Name], we haven’t seen you in a while! We’ve added new, exciting content just for you. Take a break and enjoy some time with [Platform]—we think you’ll love what’s new."
At Risk,133,133Female,"New Arrivals, More Like Since You Gone","Hi [Customer Name], we haven’t seen you in a while! We’ve added new, exciting content just for you. Take a break and enjoy some time with [Platform]—we think you’ll love what’s new."
At Risk,132,132Female,"New Arrivals, More Like Since You Gone","Hi [Customer Name], we haven’t seen you in a while! We’ve added new, exciting content just for you. Take a break and enjoy some time with [Platform]—we think you’ll love what’s new."
At Risk,113,113Female,"New Arrivals, More Like Since You Gone","Hi [Customer Name], we haven’t seen you in a while! We’ve added new, exciting content just for you. Take a break and enjoy some time with [Platform]—we think you’ll love what’s new."
At Risk,123,123Female,"New Arrivals, More Like Since You Gone","Hi [Customer Name], we haven’t seen you in a while! We’ve added new, exciting content just for you. Take a break and enjoy some time with [Platform]—we think you’ll love what’s new."
Hibernating,112,112Female,Quarterly Re-activation Sequence (1-3 Email in increasing discount order) / SMS Offer Sequence + Bestsellers,"Hi [Customer Name], we’ve missed you! There’s so much new and exciting content waiting for you. Take a moment to unwind and enjoy what we’ve curated just for you."
Hibernating,111,111Female,Quarterly Re-activation Sequence (1-3 Email in increasing discount order) / SMS Offer Sequence + Bestsellers,"Hi [Customer Name], we’ve missed you! There’s so much new and exciting content waiting for you. Take a moment to unwind and enjoy what we’ve curated just for you."
