CustomerID,Evaluation Date,Max Visit Date,Count of Visits,Watch_Duration (mins),Recency,Recency Scale,Frequency Scale,Monetary Scale,RFM Segment,Preference_Content_Type,Age,Gender,Segments,GenderSegment
C018,09/01/2024,8/28/2024,24,7578,4,2,2,2,222,Movies,25,Female,Promising,222Female
C019,09/01/2024,8/29/2024,23,8809,3,2,2,2,222,Sports,24,Female,Promising,222Female
C020,09/01/2024,8/23/2024,23,5608,9,1,2,2,122,Sports,35,Male,At Risk,122Male
C021,09/01/2024,8/29/2024,13,3529,3,2,1,1,211,TV Shows,21,Female,New Users,211Female
C022,09/01/2024,8/28/2024,12,3499,4,2,1,1,211,Movies,20,Male,New Users,211Male
C023,09/01/2024,8/30/2024,57,15361.25,2,2,3,3,233,Sports,30,Male,Champions,233Male
C024,09/01/2024,8/29/2024,38,12023.75,3,2,2,2,222,Movies,33,Female,Promising,222Female
C025,09/01/2024,8/30/2024,60,15979.25,2,2,3,3,233,Sports,22,Female,Champions,233Female
C026,09/01/2024,8/29/2024,37,10395.5,3,2,2,2,222,Movies,30,Male,Promising,222Male
C027,09/01/2024,8/30/2024,47,13196,2,2,2,2,222,Sports,33,Male,Promising,222Male
C028,09/01/2024,8/30/2024,20,5547.5,2,2,2,2,222,Movies,20,Male,Promising,222Male
C029,09/01/2024,8/30/2024,27,6556,2,2,2,2,222,TV Shows,22,Female,Promising,222Female
C030,09/01/2024,8/30/2024,45,12662,2,2,2,2,222,TV Shows,33,Female,Promising,222Female
C031,09/01/2024,8/30/2024,43,10466.5,2,2,2,2,222,Sports,22,Male,Promising,222Male
C032,09/01/2024,8/29/2024,26,8814,3,2,2,2,222,Sports,25,Male,Promising,222Male
C033,09/01/2024,8/29/2024,19,5120,3,2,2,1,221,Sports,30,Male,Promising,221Male
C034,09/01/2024,8/25/2024,7,2087,7,1,1,1,111,TV Shows,20,Male,Hibernating,111Male
C035,09/01/2024,8/28/2024,11,4323,4,2,1,1,211,Sports,20,Male,New Users,211Male
C036,09/01/2024,8/30/2024,32,10825.5,2,2,2,2,222,TV Shows,21,Female,Promising,222Female
C037,09/01/2024,8/28/2024,23,6351,4,2,2,2,222,Movies,24,Female,Promising,222Female
C038,09/01/2024,8/30/2024,29,7742,2,2,2,2,222,TV Shows,21,Female,Promising,222Female
C039,09/01/2024,8/26/2024,25,6752.75,6,1,2,2,122,Sports,26,Male,At Risk,122Male
C040,09/01/2024,8/30/2024,33,10756,2,2,2,2,222,TV Shows,20,Female,Promising,222Female
C041,09/01/2024,8/29/2024,27,8446,3,2,2,2,222,Sports,22,Female,Promising,222Female
C042,09/01/2024,8/29/2024,25,8143.5,3,2,2,2,222,Sports,30,Male,Promising,222Male
C043,09/01/2024,8/30/2024,60,14527,2,2,3,3,233,TV Shows,26,Male,Champions,233Male
C044,09/01/2024,8/30/2024,37,11531,2,2,2,2,222,Sports,23,Male,Promising,222Male
C045,09/01/2024,8/30/2024,31,8045,2,2,2,2,222,TV Shows,32,Female,Promising,222Female
C046,09/01/2024,8/30/2024,15,6602,2,2,1,2,212,TV Shows,21,Female,Promising,212Female
C047,09/01/2024,8/30/2024,52,14298,2,2,3,3,233,TV Shows,29,Female,Champions,233Female
C048,09/01/2024,8/30/2024,42,11701,2,2,2,2,222,Sports,21,Male,Promising,222Male
C049,09/01/2024,8/30/2024,34,10347,2,2,2,2,222,TV Shows,31,Female,Promising,222Female
C050,09/01/2024,8/30/2024,41,11954,2,2,2,2,222,Movies,23,Female,Promising,222Female
C051,09/01/2024,8/30/2024,44,11263.5,2,2,2,2,222,Movies,22,Male,Promising,222Male
C052,09/01/2024,8/30/2024,13,4465,2,2,1,1,211,Movies,25,Female,New Users,211Female
C053,09/01/2024,8/30/2024,22,7805.5,2,2,2,2,222,Sports,21,Male,Promising,222Male
C054,09/01/2024,8/30/2024,42,12787.5,2,2,2,2,222,Movies,24,Male,Promising,222Male
C055,09/01/2024,8/30/2024,41,10729.75,2,2,2,2,222,Sports,31,Male,Promising,222Male
C056,09/01/2024,8/30/2024,58,13124.5,2,2,3,2,232,Movies,27,Male,Potential Loyalists,232Male
C057,09/01/2024,8/30/2024,54,13795.5,2,2,3,3,233,Movies,25,Male,Champions,233Male
C058,09/01/2024,8/30/2024,37,8958.25,2,2,2,2,222,TV Shows,23,Female,Promising,222Female
C059,09/01/2024,8/28/2024,20,6223.5,4,2,2,2,222,Sports,23,Male,Promising,222Male
C060,09/01/2024,8/18/2024,12,3269,14,1,1,1,111,Sports,20,Male,Hibernating,111Male
C061,09/01/2024,8/30/2024,52,15241,2,2,3,3,233,TV Shows,25,Female,Champions,233Female
C062,09/01/2024,8/30/2024,50,14054.75,2,2,3,3,233,Sports,22,Male,Champions,233Male
C063,09/01/2024,8/30/2024,54,13347.75,2,2,3,3,233,Movies,20,Female,Champions,233Female
C064,09/01/2024,8/30/2024,59,15229,2,2,3,3,233,Sports,21,Female,Champions,233Female
C065,09/01/2024,8/30/2024,17,4822,2,2,2,1,221,Sports,24,Male,Promising,221Male
C066,09/01/2024,8/25/2024,13,4674.5,7,1,1,1,111,Movies,31,Male,Hibernating,111Male
C067,09/01/2024,8/28/2024,44,10105.25,4,2,2,2,222,TV Shows,20,Female,Promising,222Female
C068,09/01/2024,8/28/2024,20,6431,4,2,2,2,222,Sports,29,Male,Promising,222Male
C069,09/01/2024,8/30/2024,40,12123.5,2,2,2,2,222,Movies,32,Male,Promising,222Male
C070,09/01/2024,8/29/2024,40,11464.5,3,2,2,2,222,Movies,29,Female,Promising,222Female
C071,09/01/2024,8/29/2024,17,5485.5,3,2,2,2,222,TV Shows,28,Female,Promising,222Female
C072,09/01/2024,8/30/2024,18,5580,2,2,2,2,222,TV Shows,24,Female,Promising,222Female
C073,09/01/2024,8/30/2024,46,13250,2,2,2,2,222,TV Shows,25,Female,Promising,222Female
C074,09/01/2024,8/30/2024,17,5245,2,2,2,1,221,Sports,30,Male,Promising,221Male
C075,09/01/2024,8/26/2024,9,3179,6,1,1,1,111,TV Shows,20,Female,Hibernating,111Female
C076,09/01/2024,8/27/2024,10,2954,5,1,1,1,111,Sports,22,Male,Hibernating,111Male
C077,09/01/2024,8/30/2024,53,14418.5,2,2,3,3,233,Sports,20,Male,Champions,233Male
C078,09/01/2024,8/30/2024,15,5257,2,2,1,1,211,TV Shows,31,Female,New Users,211Female
C079,09/01/2024,8/27/2024,20,7507,5,1,2,2,122,Movies,24,Female,At Risk,122Female
C080,09/01/2024,8/29/2024,48,12654.5,3,2,2,2,222,Sports,34,Male,Promising,222Male
C081,09/01/2024,8/30/2024,31,8515.25,2,2,2,2,222,Movies,25,Male,Promising,222Male
C082,09/01/2024,8/30/2024,14,4471,2,2,1,1,211,TV Shows,34,Female,New Users,211Female
C083,09/01/2024,8/29/2024,41,11089.5,3,2,2,2,222,Movies,24,Female,Promising,222Female
C084,09/01/2024,8/17/2024,6,2904,15,1,1,1,111,Movies,27,Male,Hibernating,111Male
C085,09/01/2024,8/30/2024,34,8339,2,2,2,2,222,Movies,25,Male,Promising,222Male
C086,09/01/2024,8/29/2024,50,15823.5,3,2,3,3,233,TV Shows,22,Female,Champions,233Female
C087,09/01/2024,8/30/2024,42,12095.5,2,2,2,2,222,Sports,20,Male,Promising,222Male
C088,09/01/2024,8/30/2024,18,5902,2,2,2,2,222,Sports,33,Male,Promising,222Male
C089,09/01/2024,8/29/2024,29,9881,3,2,2,2,222,Sports,26,Male,Promising,222Male
C090,09/01/2024,8/28/2024,12,3499,4,2,1,1,211,Sports,20,Female,New Users,211Female
C091,09/01/2024,8/30/2024,52,13970,2,2,3,3,233,Sports,24,Male,Champions,233Male
C092,09/01/2024,8/30/2024,40,12265.25,2,2,2,2,222,Movies,27,Female,Promising,222Female
C093,09/01/2024,8/30/2024,20,5661.75,2,2,2,2,222,Movies,23,Male,Promising,222Male
C094,09/01/2024,8/29/2024,28,8055,3,2,2,2,222,Sports,22,Male,Promising,222Male
C095,09/01/2024,8/29/2024,33,9210,3,2,2,2,222,Movies,25,Male,Promising,222Male
C096,09/01/2024,8/30/2024,21,7290.5,2,2,2,2,222,TV Shows,25,Female,Promising,222Female
C097,09/01/2024,8/27/2024,35,11309.25,5,1,2,2,122,Movies,23,Female,At Risk,122Female
C098,09/01/2024,8/29/2024,17,5002.5,3,2,2,1,221,TV Shows,23,Female,Promising,221Female
C099,09/01/2024,8/30/2024,59,14219.75,2,2,3,3,233,TV Shows,21,Female,Champions,233Female
C100,09/01/2024,8/30/2024,60,18055.25,2,2,3,3,233,Sports,22,Male,Champions,233Male
C101,09/01/2024,8/24/2024,18,5039.5,8,1,2,1,121,Movies,23,Male,At Risk,121Male
C102,09/01/2024,8/30/2024,34,10021.5,2,2,2,2,222,Sports,23,Male,Promising,222Male
C103,09/01/2024,8/30/2024,17,4941,2,2,2,1,221,Movies,29,Male,Promising,221Male
C104,09/01/2024,8/27/2024,22,7153,5,1,2,2,122,Movies,23,Male,At Risk,122Male
C105,09/01/2024,8/30/2024,57,12904.5,2,2,3,2,232,Movies,22,Male,Potential Loyalists,232Male
C106,09/01/2024,8/30/2024,53,13804.75,2,2,3,3,233,Sports,35,Male,Champions,233Male
C107,09/01/2024,8/29/2024,34,8984.25,3,2,2,2,222,TV Shows,28,Female,Promising,222Female
C108,09/01/2024,8/30/2024,40,12133,2,2,2,2,222,TV Shows,26,Female,Promising,222Female
C109,09/01/2024,8/29/2024,28,9896.5,3,2,2,2,222,Movies,21,Male,Promising,222Male
C110,09/01/2024,8/29/2024,52,15921.75,3,2,3,3,233,Movies,32,Female,Champions,233Female
C111,09/01/2024,8/30/2024,20,5016.5,2,2,2,1,221,Sports,24,Male,Promising,221Male
C112,09/01/2024,8/30/2024,11,4543,2,2,1,1,211,Sports,33,Male,New Users,211Male
C113,09/01/2024,8/30/2024,42,13581.75,2,2,2,3,223,TV Shows,23,Female,Loyal Customers,223Female
C114,09/01/2024,8/30/2024,22,6736,2,2,2,2,222,Sports,24,Female,Promising,222Female
C115,09/01/2024,8/30/2024,46,13415,2,2,2,3,223,Movies,26,Male,Loyal Customers,223Male
C116,09/01/2024,8/30/2024,28,9242.5,2,2,2,2,222,Movies,32,Male,Promising,222Male
C117,09/01/2024,8/29/2024,35,10290.5,3,2,2,2,222,Movies,21,Male,Promising,222Male
C118,09/01/2024,8/30/2024,27,6401.5,2,2,2,2,222,TV Shows,30,Male,Promising,222Male
C119,09/01/2024,8/27/2024,9,3295,5,1,1,1,111,Movies,20,Female,Hibernating,111Female
C120,09/01/2024,8/30/2024,22,7088,2,2,2,2,222,Movies,23,Female,Promising,222Female
C121,09/01/2024,8/27/2024,9,3021,5,1,1,1,111,Sports,20,Male,Hibernating,111Male
C122,09/01/2024,8/30/2024,38,11312.25,2,2,2,2,222,Sports,27,Male,Promising,222Male
C123,09/01/2024,8/30/2024,32,9147.25,2,2,2,2,222,Movies,27,Male,Promising,222Male
C124,09/01/2024,8/23/2024,13,4545,9,1,1,1,111,Sports,30,Male,Hibernating,111Male
C125,09/01/2024,8/28/2024,28,8879.25,4,2,2,2,222,Sports,20,Male,Promising,222Male
C126,09/01/2024,8/27/2024,14,5997,5,1,1,2,112,Sports,22,Male,Hibernating,112Male
C127,09/01/2024,8/30/2024,21,6048.5,2,2,2,2,222,TV Shows,25,Female,Promising,222Female
C128,09/01/2024,8/30/2024,22,7641,2,2,2,2,222,TV Shows,27,Female,Promising,222Female
C129,09/01/2024,8/24/2024,21,7651,8,1,2,2,122,TV Shows,24,Female,At Risk,122Female
C130,09/01/2024,8/30/2024,51,12449,2,2,3,2,232,TV Shows,20,Female,Potential Loyalists,232Female
C131,09/01/2024,8/30/2024,7,1905,2,2,1,1,211,TV Shows,21,Female,New Users,211Female
C132,09/01/2024,8/30/2024,49,12443.5,2,2,3,2,232,TV Shows,23,Female,Potential Loyalists,232Female
C133,09/01/2024,8/29/2024,52,13088.25,3,2,3,2,232,Movies,26,Female,Potential Loyalists,232Female
C134,09/01/2024,8/26/2024,15,5265,6,1,1,1,111,TV Shows,35,Female,Hibernating,111Female
C135,09/01/2024,8/29/2024,27,9298,3,2,2,2,222,TV Shows,20,Female,Promising,222Female
C136,09/01/2024,8/29/2024,7,2107,3,2,1,1,211,TV Shows,26,Female,New Users,211Female
C137,09/01/2024,8/29/2024,39,11979.5,3,2,2,2,222,Movies,31,Female,Promising,222Female
C138,09/01/2024,8/30/2024,45,11358.75,2,2,2,2,222,TV Shows,28,Female,Promising,222Female
C139,09/01/2024,8/27/2024,10,3419,5,1,1,1,111,TV Shows,22,Female,Hibernating,111Female
C140,09/01/2024,8/30/2024,23,7316.75,2,2,2,2,222,TV Shows,23,Female,Promising,222Female
C141,09/01/2024,8/30/2024,32,10527,2,2,2,2,222,Movies,24,Female,Promising,222Female
C142,09/01/2024,8/30/2024,21,6901,2,2,2,2,222,Movies,27,Male,Promising,222Male
C143,09/01/2024,8/30/2024,43,13330,2,2,2,3,223,TV Shows,24,Female,Loyal Customers,223Female
C144,09/01/2024,8/30/2024,56,14458,2,2,3,3,233,Sports,23,Male,Champions,233Male
C145,09/01/2024,8/30/2024,58,15897,2,2,3,3,233,Movies,29,Male,Champions,233Male
C146,09/01/2024,8/30/2024,56,15101,2,2,3,3,233,TV Shows,30,Female,Champions,233Female
C147,09/01/2024,8/30/2024,21,6497.5,2,2,2,2,222,TV Shows,29,Female,Promising,222Female
C148,09/01/2024,8/30/2024,14,4220.5,2,2,1,1,211,TV Shows,24,Female,New Users,211Female
C149,09/01/2024,8/30/2024,60,16099.75,2,2,3,3,233,Sports,23,Female,Champions,233Female
C150,09/01/2024,8/30/2024,19,6365,2,2,2,2,222,TV Shows,23,Female,Promising,222Female
C151,09/01/2024,8/30/2024,32,9069.25,2,2,2,2,222,Movies,23,Female,Promising,222Female
C152,09/01/2024,8/28/2024,36,10423.25,4,2,2,2,222,Movies,28,Male,Promising,222Male
C153,09/01/2024,8/30/2024,41,11290.25,2,2,2,2,222,Sports,25,Male,Promising,222Male
C154,09/01/2024,8/29/2024,9,2402,3,2,1,1,211,Sports,24,Male,New Users,211Male
C155,09/01/2024,8/27/2024,5,1082,5,1,1,1,111,Movies,27,Male,Hibernating,111Male
C156,09/01/2024,8/30/2024,57,15372.75,2,2,3,3,233,Sports,30,Male,Champions,233Male
C157,09/01/2024,8/30/2024,39,10484.5,2,2,2,2,222,Movies,32,Female,Promising,222Female
C158,09/01/2024,8/30/2024,33,10914,2,2,2,2,222,Movies,21,Female,Promising,222Female
C159,09/01/2024,8/30/2024,8,2145,2,2,1,1,211,Sports,21,Male,New Users,211Male
C160,09/01/2024,8/30/2024,56,12967.75,2,2,3,2,232,Movies,25,Male,Potential Loyalists,232Male
C161,09/01/2024,8/25/2024,16,5947,7,1,1,2,112,Movies,23,Male,Hibernating,112Male
C162,09/01/2024,8/30/2024,50,12593.75,2,2,3,2,232,Movies,31,Male,Potential Loyalists,232Male
C163,09/01/2024,8/29/2024,51,14306,3,2,3,3,233,Sports,26,Male,Champions,233Male
C164,09/01/2024,8/29/2024,11,4181,3,2,1,1,211,Movies,25,Male,New Users,211Male
C165,09/01/2024,8/29/2024,52,12376.5,3,2,3,2,232,TV Shows,22,Female,Potential Loyalists,232Female
C166,09/01/2024,8/30/2024,37,9909.25,2,2,2,2,222,Movies,23,Male,Promising,222Male
C167,09/01/2024,8/30/2024,29,9687.5,2,2,2,2,222,Movies,22,Female,Promising,222Female
C168,09/01/2024,8/30/2024,36,8830.25,2,2,2,2,222,Sports,22,Male,Promising,222Male
C169,09/01/2024,8/28/2024,59,14413,4,2,3,3,233,Movies,31,Male,Champions,233Male
C170,09/01/2024,8/29/2024,23,8456.5,3,2,2,2,222,Sports,35,Male,Promising,222Male
C171,09/01/2024,8/29/2024,57,14028,3,2,3,3,233,Movies,22,Male,Champions,233Male
C172,09/01/2024,8/30/2024,60,13228.25,2,2,3,2,232,TV Shows,21,Female,Potential Loyalists,232Female
C173,09/01/2024,8/30/2024,5,1507,2,2,1,1,211,TV Shows,29,Female,New Users,211Female
C174,09/01/2024,8/28/2024,17,5268.5,4,2,2,1,221,TV Shows,22,Female,Promising,221Female
C175,09/01/2024,8/30/2024,56,13898.25,2,2,3,3,233,TV Shows,26,Female,Champions,233Female
C176,09/01/2024,8/30/2024,35,11897.5,2,2,2,2,222,Movies,25,Male,Promising,222Male
C177,09/01/2024,8/30/2024,57,13764.75,2,2,3,3,233,Movies,23,Female,Champions,233Female
C178,09/01/2024,8/29/2024,49,12234.5,3,2,3,2,232,Movies,22,Male,Potential Loyalists,232Male
C179,09/01/2024,8/28/2024,5,1827,4,2,1,1,211,Movies,20,Male,New Users,211Male
C180,09/01/2024,8/30/2024,52,13969.25,2,2,3,3,233,Sports,21,Male,Champions,233Male
C181,09/01/2024,8/18/2024,10,3601,14,1,1,1,111,Movies,21,Male,Hibernating,111Male
C182,09/01/2024,8/30/2024,49,11941,2,2,3,2,232,Sports,20,Male,Potential Loyalists,232Male
C183,09/01/2024,8/26/2024,5,794,6,1,1,1,111,Sports,32,Male,Hibernating,111Male
C184,09/01/2024,8/30/2024,11,4493,2,2,1,1,211,Sports,33,Male,New Users,211Male
C185,09/01/2024,8/30/2024,31,9439,2,2,2,2,222,TV Shows,23,Female,Promising,222Female
C186,09/01/2024,8/29/2024,13,5611,3,2,1,2,212,Sports,20,Male,Promising,212Male
C187,09/01/2024,8/30/2024,35,10429.5,2,2,2,2,222,Sports,34,Male,Promising,222Male
C188,09/01/2024,8/30/2024,55,13944.25,2,2,3,3,233,Movies,29,Female,Champions,233Female
C189,09/01/2024,8/30/2024,44,10558.75,2,2,2,2,222,TV Shows,29,Female,Promising,222Female
C190,09/01/2024,8/30/2024,26,7099.5,2,2,2,2,222,Movies,20,Male,Promising,222Male
C191,09/01/2024,8/30/2024,60,14833,2,2,3,3,233,TV Shows,26,Female,Champions,233Female
C192,09/01/2024,8/28/2024,38,9331.5,4,2,2,2,222,Movies,20,Female,Promising,222Female
C193,09/01/2024,8/30/2024,54,15005.5,2,2,3,3,233,Movies,20,Male,Champions,233Male
C194,09/01/2024,8/30/2024,46,12811.5,2,2,2,2,222,TV Shows,25,Female,Promising,222Female
C195,09/01/2024,8/28/2024,10,4281.5,4,2,1,1,211,Movies,24,Male,New Users,211Male
C196,09/01/2024,8/30/2024,48,13759.5,2,2,2,3,223,Movies,25,Male,Loyal Customers,223Male
C197,09/01/2024,8/30/2024,34,9017,2,2,2,2,222,Movies,24,Male,Promising,222Male
C198,09/01/2024,8/22/2024,12,4388,10,1,1,1,111,Sports,21,Male,Hibernating,111Male
C199,09/01/2024,8/30/2024,51,13018,2,2,3,2,232,Sports,20,Male,Potential Loyalists,232Male
C200,09/01/2024,8/29/2024,42,10105.75,3,2,2,2,222,Movies,30,Male,Promising,222Male
C201,09/01/2024,8/29/2024,24,8713,3,2,2,2,222,Sports,22,Male,Promising,222Male
C202,09/01/2024,8/30/2024,44,11683,2,2,2,2,222,Sports,22,Male,Promising,222Male
C203,09/01/2024,8/30/2024,50,12079.75,2,2,3,2,232,TV Shows,31,Female,Potential Loyalists,232Female
C204,09/01/2024,8/30/2024,45,13351.25,2,2,2,3,223,Movies,30,Male,Loyal Customers,223Male
C205,09/01/2024,8/29/2024,55,14572,3,2,3,3,233,TV Shows,27,Female,Champions,233Female
C206,09/01/2024,8/28/2024,8,1716,4,2,1,1,211,Movies,27,Male,New Users,211Male
C207,09/01/2024,8/30/2024,25,7222.75,2,2,2,2,222,Sports,29,Male,Promising,222Male
C208,09/01/2024,8/29/2024,22,7784.5,3,2,2,2,222,TV Shows,20,Female,Promising,222Female
C209,09/01/2024,8/30/2024,39,10154.5,2,2,2,2,222,Sports,21,Male,Promising,222Male
C210,09/01/2024,8/30/2024,23,7516,2,2,2,2,222,Sports,20,Male,Promising,222Male
C211,09/01/2024,8/30/2024,59,14862,2,2,3,3,233,Sports,20,Male,Champions,233Male
C212,09/01/2024,8/26/2024,9,2482.5,6,1,1,1,111,Movies,25,Male,Hibernating,111Male
C213,09/01/2024,8/30/2024,32,8458.25,2,2,2,2,222,Movies,20,Female,Promising,222Female
C214,09/01/2024,8/30/2024,53,13553,2,2,3,3,233,Sports,27,Male,Champions,233Male
C215,09/01/2024,8/30/2024,57,15988,2,2,3,3,233,Sports,23,Male,Champions,233Male
C216,09/01/2024,8/30/2024,48,14219.25,2,2,2,3,223,Movies,20,Female,Loyal Customers,223Female
C217,09/01/2024,8/29/2024,34,10743,3,2,2,2,222,Sports,21,Female,Promising,222Female
C218,09/01/2024,8/30/2024,37,10682,2,2,2,2,222,TV Shows,21,Male,Promising,222Male
C219,09/01/2024,8/30/2024,33,9854.5,2,2,2,2,222,Movies,23,Female,Promising,222Female
C220,09/01/2024,8/29/2024,22,6946.5,3,2,2,2,222,Sports,23,Male,Promising,222Male
C221,09/01/2024,8/30/2024,26,8106.5,2,2,2,2,222,TV Shows,20,Female,Promising,222Female
C222,09/01/2024,8/30/2024,41,11535.5,2,2,2,2,222,Sports,33,Male,Promising,222Male
C223,09/01/2024,8/28/2024,20,5709.5,4,2,2,2,222,TV Shows,25,Female,Promising,222Female
C224,09/01/2024,8/30/2024,60,14377.5,2,2,3,3,233,Movies,25,Male,Champions,233Male
C225,09/01/2024,8/29/2024,34,9405.5,3,2,2,2,222,Sports,23,Male,Promising,222Male
C226,09/01/2024,8/30/2024,55,15237,2,2,3,3,233,Sports,22,Male,Champions,233Male
C227,09/01/2024,8/30/2024,42,11687.5,2,2,2,2,222,Movies,24,Male,Promising,222Male
C228,09/01/2024,8/30/2024,58,15348.25,2,2,3,3,233,Movies,22,Male,Champions,233Male
C229,09/01/2024,8/30/2024,41,11132.25,2,2,2,2,222,Sports,21,Male,Promising,222Male
C230,09/01/2024,8/19/2024,6,1989,13,1,1,1,111,Sports,20,Male,Hibernating,111Male
C231,09/01/2024,8/30/2024,27,11297.5,2,2,2,2,222,Sports,22,Male,Promising,222Male
C232,09/01/2024,8/30/2024,49,13827.5,2,2,3,3,233,Movies,26,Male,Champions,233Male
C233,09/01/2024,8/30/2024,56,15141.5,2,2,3,3,233,Movies,27,Female,Champions,233Female
C234,09/01/2024,8/30/2024,21,7470,2,2,2,2,222,TV Shows,24,Female,Promising,222Female
C235,09/01/2024,8/30/2024,57,13892.5,2,2,3,3,233,TV Shows,25,Female,Champions,233Female
C236,09/01/2024,8/30/2024,22,7437.5,2,2,2,2,222,Sports,20,Male,Promising,222Male
C237,09/01/2024,8/30/2024,44,12628.75,2,2,2,2,222,Sports,21,Male,Promising,222Male
C238,09/01/2024,8/30/2024,19,6287.5,2,2,2,2,222,Movies,29,Male,Promising,222Male
C239,09/01/2024,8/30/2024,58,16813.75,2,2,3,3,233,Sports,23,Male,Champions,233Male
C240,09/01/2024,8/30/2024,47,10284.5,2,2,2,2,222,TV Shows,20,Female,Promising,222Female
C241,09/01/2024,8/29/2024,6,2131,3,2,1,1,211,Sports,25,Male,New Users,211Male
C242,09/01/2024,8/29/2024,59,14879.75,3,2,3,3,233,Movies,22,Female,Champions,233Female
C243,09/01/2024,8/29/2024,18,6510,3,2,2,2,222,TV Shows,23,Male,Promising,222Male
C244,09/01/2024,8/25/2024,27,7050.5,7,1,2,2,122,TV Shows,29,Female,At Risk,122Female
C245,09/01/2024,8/30/2024,15,5388,2,2,1,2,212,Sports,21,Female,Promising,212Female
C246,09/01/2024,8/29/2024,11,3356,3,2,1,1,211,Sports,28,Male,New Users,211Male
C247,09/01/2024,8/30/2024,24,7611.5,2,2,2,2,222,Sports,27,Male,Promising,222Male
C248,09/01/2024,8/30/2024,48,11415,2,2,2,2,222,Sports,24,Male,Promising,222Male
C249,09/01/2024,8/30/2024,31,9998,2,2,2,2,222,Movies,22,Male,Promising,222Male
C250,09/01/2024,8/29/2024,40,12203,3,2,2,2,222,Movies,22,Female,Promising,222Female
C251,09/01/2024,8/30/2024,22,6868.75,2,2,2,2,222,Movies,30,Female,Promising,222Female
C252,09/01/2024,8/29/2024,23,7951.25,3,2,2,2,222,Movies,25,Male,Promising,222Male
C253,09/01/2024,8/29/2024,38,11057.75,3,2,2,2,222,Sports,33,Male,Promising,222Male
C254,09/01/2024,8/28/2024,16,4879,4,2,1,1,211,Movies,21,Female,New Users,211Female
C255,09/01/2024,8/29/2024,10,3064,3,2,1,1,211,Sports,27,Male,New Users,211Male
C256,09/01/2024,8/30/2024,50,12157.75,2,2,3,2,232,Sports,20,Male,Potential Loyalists,232Male
C257,09/01/2024,8/29/2024,34,10013.75,3,2,2,2,222,Movies,25,Female,Promising,222Female
C258,09/01/2024,8/30/2024,10,3556,2,2,1,1,211,Movies,22,Female,New Users,211Female
C259,09/01/2024,8/30/2024,57,14292.75,2,2,3,3,233,Sports,23,Male,Champions,233Male
C260,09/01/2024,8/30/2024,60,14092,2,2,3,3,233,Sports,22,Male,Champions,233Male
C261,09/01/2024,8/29/2024,7,2191,3,2,1,1,211,Sports,22,Male,New Users,211Male
C262,09/01/2024,8/30/2024,58,15514.25,2,2,3,3,233,TV Shows,20,Female,Champions,233Female
C263,09/01/2024,8/29/2024,14,5580,3,2,1,2,212,Sports,20,Male,Promising,212Male
C264,09/01/2024,8/30/2024,40,11311.75,2,2,2,2,222,Sports,30,Male,Promising,222Male
C265,09/01/2024,8/30/2024,35,12442,2,2,2,2,222,Movies,29,Male,Promising,222Male
C266,09/01/2024,8/29/2024,42,12581.5,3,2,2,2,222,Sports,33,Male,Promising,222Male
C267,09/01/2024,8/30/2024,19,6828,2,2,2,2,222,Sports,24,Male,Promising,222Male
C268,09/01/2024,8/30/2024,29,9185,2,2,2,2,222,TV Shows,34,Male,Promising,222Male
C269,09/01/2024,8/29/2024,56,15461,3,2,3,3,233,Sports,21,Male,Champions,233Male
